"id";"name";"type";"lookface";"mapid";"cellx";"celly";"life";"maxlife";"base";"sort"
10001;"WarriorGod";2;166;1004;33;65;0;0;0;0
10000;"TaoistMoon";2;120;1004;56;33;0;0;0;0
400;"ArcherGod";2;1657;1004;33;53;0;0;0;0
30;"Taoist";2;130;1004;60;33;0;0;0;0
600050;"Fortuneteller";2;6207;1002;337;720;0;0;0;0
30165;"EscortChief";2;8400;1002;423;320;0;0;0;0
30161;"FurnitureNPC";2;8120;1002;409;370;0;0;0;0
30157;"HouseAgent";2;8070;1002;400;284;0;0;0;0
30154;"Luna";2;8040;1002;372;407;0;0;0;0
30112;"GeneralChen";2;7380;1002;480;351;0;0;0;0
30110;"Mr.Leisure";2;7360;1002;392;32;0;0;0;0
30106;"David";2;7351;1002;444;290;0;0;0;0
30099;"GeneralLong";2;7271;1002;443;242;0;0;0;0
30096;"Richard";2;7253;1002;458;375;0;0;0;0
30095;"John";2;7240;1002;458;233;0;0;0;0
30085;"FoodCarrier";2;7200;1002;76;401;0;0;0;0
30084;"GeneralQing";2;7190;1002;400;288;0;0;0;0
30082;"GeneralCai";2;7171;1002;552;754;0;0;0;0
30080;"CoachLi";2;7150;1002;349;313;0;0;0;0
20005;"Celestine";2;8350;1002;365;92;0;0;0;0
15140;"Gouda";2;1820;1002;473;325;0;0;0;1
10063;"Shopboy";2;5020;1002;424;350;0;0;0;0
10060;"Sunfer";2;1070;1002;409;386;0;0;0;0
10054;"GeneralPeace";2;296;1002;60;463;0;0;0;0
10050;"Conductress";2;280;1002;435;440;0;0;0;0
10033;"SpaceMark";2;270;1002;795;465;0;0;0;0
10032;"SpaceMark";2;270;1002;96;323;0;0;0;0
10031;"SpaceMark";2;270;1002;411;704;0;0;0;0
10021;"ArenaGuard";2;260;1002;459;291;0;0;0;0
10020;"Beautician";5;250;1002;457;332;0;0;0;0
10019;"ArtisanWind";6;240;1002;421;352;0;0;0;0
10003;"GuildDirector";2;150;1002;398;392;0;0;0;0
10002;"Barber";2;26;1002;412;376;0;0;0;0
1611;"GeneralJudd";2;6990;1002;396;233;0;0;0;0
1152;"Simon";2;6520;1002;393;235;0;0;0;0
1061;"WhsGuardian";2;2620;1002;409;392;0;0;0;0
423;"Pedlar";1;2706;1002;412;361;0;0;0;0
380;"GuildController";2;1156;1002;350;337;0;0;0;0
43;"CaptainLi";2;391;1002;512;351;0;0;0;0
8;"Warehouseman";3;80;1002;409;351;0;0;0;1
5;"Blacksmith";1;50;1002;452;330;0;0;0;0
4;"Armorer";1;40;1002;412;366;0;0;0;0
3;"Pharmacist";1;30;1002;466;327;0;0;0;0
1;"Shopkeeper";1;10;1002;415;351;0;0;0;0
600100;"Alcoholist";2;9200;1001;674;340;0;0;0;0
10043;"SpaceMark";2;270;1001;472;366;0;0;0;0
600066;"ToughWei";2;6287;1000;66;354;0;0;0;0
600061;"RichmanZhang";2;6247;1000;520;620;0;0;0;0
600060;"Mr.Pine";2;6232;1000;454;242;0;0;0;0
600002;"Joe";2;6020;1000;77;326;0;0;0;0
30166;"Shopboy";2;8410;1000;469;273;0;0;0;0
30164;"Mike";2;8290;1000;486;618;0;0;0;0
30104;"GeneralShou";2;7310;1000;519;615;0;0;0;0
30103;"StoneBandit";2;7320;1000;324;456;0;0;0;0
30102;"VillageHead";2;7300;1000;479;261;0;0;0;0
30000;"Matchmaker";2;6030;1000;462;589;0;0;0;0
10051;"Conductress";2;280;1000;478;631;0;0;0;0
10041;"SpaceMark";2;270;1000;793;549;0;0;0;0
10040;"SpaceMark";2;270;1000;225;205;0;0;0;0
10016;"Pharmacist";1;236;1000;519;259;0;0;0;0
10015;"Blacksmith";1;220;1000;493;255;0;0;0;0
10011;"Warehouseman";3;200;1000;471;629;0;0;0;1
127;"Assistant";2;1176;1000;312;8;0;0;0;0
10;"Blacksmith";1;100;1000;486;621;0;0;0;0
9;"Pharmacist";1;30;1000;511;630;0;0;0;0
3953;"JewelerSun";2;1440;700;34;47;0;0;0;0
3952;"CollectorWong";2;3236;700;34;42;0;0;0;0
945;"LuckyBox3";2;9277;700;45;59;0;0;0;0
944;"LuckyBox5";2;9307;700;57;59;0;0;0;0
943;"LuckyBox3";2;9277;700;53;59;0;0;0;0
942;"LuckyBox4";2;9287;700;49;59;0;0;0;0
940;"LuckyBox2";2;9267;700;57;55;0;0;0;0
939;"LuckyBox4";2;9287;700;53;55;0;0;0;0
938;"LuckyBox1";2;9257;700;49;55;0;0;0;0
937;"LuckyBox4";2;9287;700;45;55;0;0;0;0
936;"LuckyBox1";2;9257;700;57;51;0;0;0;0
935;"LuckyBox5";2;9307;700;53;51;0;0;0;0
934;"LuckyBox3";2;9267;700;49;51;0;0;0;0
933;"LuckyBox3";2;9277;700;45;51;0;0;0;0
932;"LuckyBox5";2;9307;700;57;47;0;0;0;0
931;"LuckyBox4";2;9287;700;53;47;0;0;0;0
930;"LuckyBox1";2;9257;700;49;47;0;0;0;0
929;"LuckyBox2";2;9267;700;45;47;0;0;0;0
928;"LuckyBox5";2;9307;700;57;43;0;0;0;0
927;"LuckyBox3";2;9277;700;53;43;0;0;0;0
926;"LuckyBox2";2;9267;700;49;43;0;0;0;0
925;"LuckyBox1";2;9257;700;45;43;0;0;0;0
924;"LadyLuck";2;9230;700;40;50;0;0;0;0
10022;"TrojanStar";2;60;1004;44;33;0;0;0;0
35500;"MightyTao";2;8450;1004;66;33;0;0;0;0
10064;"Tinter";2;5030;1008;27;16;0;0;0;0
425;"OldGeneralYang";2;2690;1010;96;42;0;0;0;0
1060;"Guide";2;2610;1010;61;105;0;0;0;0
10004;"BirthManager";2;170;1010;70;37;0;0;0;0
10005;"Blacksmith";2;56;1010;66;46;0;0;0;0
10006;"Warehouseman";2;86;1010;72;50;0;0;0;0
10007;"Armorer";2;46;1010;76;55;0;0;0;0
10008;"Pharmacist";2;36;1010;80;62;0;0;0;0
10009;"Mr.Nosy";2;180;1010;85;41;0;0;0;0
10010;"KnowItAll";2;190;1010;88;31;0;0;0;0
10055;"TaoistStar";2;130;1010;74;37;0;0;0;0
11;"Armorer";1;116;1011;202;242;0;0;0;0
35;"ArtisanCloud";7;350;1011;242;237;0;0;0;0
40;"Alchemist";2;360;1011;178;224;0;0;0;0
125;"Assistant";2;1176;1011;934;562;0;0;0;0
421;"Norbert";2;9210;1011;810;458;0;0;0;0
1610;"OldMiner";2;6980;1011;907;546;0;0;0;0
3216;"Mr.Free";2;1320;1011;154;238;0;0;0;0
10012;"Warehouseman";3;210;1011;227;246;0;0;0;1
10013;"Blacksmith";1;220;1011;197;226;0;0;0;0
10014;"Pharmacist";1;230;1011;189;252;0;0;0;0
10034;"SpaceMark";2;270;1011;538;772;0;0;0;0
10035;"SpaceMark";2;270;1011;734;452;0;0;0;0
10036;"SpaceMark";2;270;1011;67;423;0;0;0;0
10052;"Conductress";2;287;1011;228;255;0;0;0;0
20000;"Shirley";2;8190;1011;783;456;0;0;0;0
30081;"CoachLin";2;7161;1011;178;271;0;0;0;0
30083;"Killer";2;7187;1011;774;414;0;0;0;0
30086;"BanditHead";2;7210;1011;233;271;0;0;0;0
30088;"OldmanTang";2;7230;1011;779;467;0;0;0;0
30114;"GeneralWu";2;7400;1011;800;471;0;0;0;0
30163;"Joy";2;8280;1011;324;187;0;0;0;0
30167;"Roy";2;8420;1011;182;214;0;0;0;0
600000;"Milly";2;6000;1011;804;461;0;0;0;0
600065;"William";2;6310;1011;211;195;0;0;0;0
30055;"Daniel";2;7097;1012;155;165;0;0;0;0
30120;"DevineArtisan";2;7500;1012;403;362;0;0;0;0
30123;"JailGuard";2;7530;1012;364;343;0;0;0;0
300500;"Eternity";2;8360;1012;119;192;0;0;0;0
10017;"Pharmacist";1;230;1013;46;22;0;0;0;0
10018;"Blacksmith";1;220;1013;30;24;0;0;0;0
41;"ArtisanOu";2;370;1015;756;545;0;0;0;0
3010;"AntiqueDealer";2;6910;1015;761;588;0;0;0;0
10023;"Shopkeeper";1;10;1015;721;541;0;0;0;0
10025;"Blacksmith";1;50;1015;751;544;0;0;0;0
10026;"Pharmacist";1;30;1015;765;542;0;0;0;0
10027;"Warehouseman";3;80;1015;716;541;0;0;0;1
10056;"Conductress";2;280;1015;789;566;0;0;0;0
30115;"GreenSnake";2;7410;1015;678;966;0;0;0;0
300010;"Exorcist";2;7680;1015;715;584;0;0;0;0
600001;"Minner";2;6010;1015;707;545;0;0;0;0
600062;"GossiperWang";2;6257;1015;743;515;0;0;0;0
600063;"Roger";2;6267;1015;697;595;0;0;0;0
600064;"Rachel";2;6277;1015;209;183;0;0;0;0
126;"Assistant";2;1176;1020;523;889;0;0;0;0
422;"OldQuarrier";2;9220;1020;568;527;0;0;0;0
3215;"SolarSaint";2;1314;1020;532;480;0;0;0;0
3600;"Alex";2;2160;1020;436;311;0;0;0;0
3610;"Carl";2;2377;1020;369;309;0;0;0;0
10028;"Warehouseman";3;80;1020;576;542;0;0;0;1
10029;"Blacksmith";1;50;1020;560;508;0;0;0;0
10030;"Pharmacist";1;30;1020;550;542;0;0;0;0
10037;"SpaceMark";2;270;1020;824;601;0;0;0;0
10038;"SpaceMark";2;270;1020;491;731;0;0;0;0
10039;"SpaceMark";2;270;1020;106;394;0;0;0;0
10053;"Conductress";2;286;1020;566;622;0;0;0;0
20001;"SoldierLeader";2;8210;1020;448;396;0;0;0;0
30100;"MountainKing";2;7280;1020;543;544;0;0;0;0
30101;"SnakemanLeader";2;7290;1020;88;387;0;0;0;0
30105;"HeresyLeader";2;7342;1020;441;451;0;0;0;0
30111;"BlacksmithLi";2;7370;1020;566;509;0;0;0;0
30113;"Soldier";2;7390;1020;545;509;0;0;0;0
30121;"Hades";2;7510;1020;381;33;0;0;0;0
600068;"OldGeneral";2;6296;1020;535;533;0;0;0;0
44;"Warehouseman";3;87;1036;182;180;0;0;0;1
45;"Mark.Controller";2;417;1036;215;220;0;0;0;0
47;"PrizeNPC";2;1067;1036;185;170;0;0;0;0
50;"ShopFlag";16;1086;1036;118;217;0;0;0;0
51;"ShopFlag";16;1086;1036;118;213;0;0;0;0
52;"ShopFlag";16;1086;1036;118;209;0;0;0;0
53;"ShopFlag";16;1086;1036;118;205;0;0;0;0
54;"ShopFlag";16;1086;1036;118;201;0;0;0;0
55;"ShopFlag";16;1086;1036;118;197;0;0;0;0
56;"ShopFlag";16;1086;1036;118;193;0;0;0;0
57;"ShopFlag";16;1086;1036;118;189;0;0;0;0
58;"ShopFlag";16;1086;1036;118;185;0;0;0;0
59;"ShopFlag";16;1086;1036;118;181;0;0;0;0
60;"ShopFlag";16;1086;1036;118;177;0;0;0;0
61;"ShopFlag";16;1086;1036;118;173;0;0;0;0
62;"ShopFlag";16;1086;1036;125;217;0;0;0;0
63;"ShopFlag";16;1086;1036;125;213;0;0;0;0
64;"ShopFlag";16;1086;1036;125;209;0;0;0;0
65;"ShopFlag";16;1086;1036;125;205;0;0;0;0
66;"ShopFlag";16;1086;1036;125;201;0;0;0;0
67;"ShopFlag";16;1086;1036;125;197;0;0;0;0
68;"ShopFlag";16;1086;1036;125;193;0;0;0;0
69;"ShopFlag";16;1086;1036;125;189;0;0;0;0
70;"ShopFlag";16;1086;1036;125;185;0;0;0;0
71;"ShopFlag";16;1086;1036;125;181;0;0;0;0
72;"ShopFlag";16;1086;1036;125;177;0;0;0;0
73;"ShopFlag";16;1086;1036;125;173;0;0;0;0
74;"ShopFlag";16;1086;1036;150;217;0;0;0;0
75;"ShopFlag";16;1086;1036;150;213;0;0;0;0
76;"ShopFlag";16;1086;1036;150;209;0;0;0;0
77;"ShopFlag";16;1086;1036;150;205;0;0;0;0
78;"ShopFlag";16;1086;1036;150;201;0;0;0;0
79;"ShopFlag";16;1086;1036;150;197;0;0;0;0
80;"ShopFlag";16;1086;1036;150;193;0;0;0;0
81;"ShopFlag";16;1086;1036;150;189;0;0;0;0
82;"ShopFlag";16;1086;1036;150;185;0;0;0;0
83;"ShopFlag";16;1086;1036;150;181;0;0;0;0
84;"ShopFlag";16;1086;1036;150;177;0;0;0;0
85;"ShopFlag";16;1086;1036;150;173;0;0;0;0
86;"ShopFlag";16;1086;1036;157;217;0;0;0;0
87;"ShopFlag";16;1086;1036;157;213;0;0;0;0
88;"ShopFlag";16;1086;1036;157;209;0;0;0;0
89;"ShopFlag";16;1086;1036;157;205;0;0;0;0
90;"ShopFlag";16;1086;1036;157;201;0;0;0;0
91;"ShopFlag";16;1086;1036;157;197;0;0;0;0
92;"ShopFlag";16;1086;1036;157;193;0;0;0;0
93;"ShopFlag";16;1086;1036;157;189;0;0;0;0
94;"ShopFlag";16;1086;1036;157;185;0;0;0;0
95;"ShopFlag";16;1086;1036;157;181;0;0;0;0
96;"ShopFlag";16;1086;1036;157;177;0;0;0;0
97;"ShopFlag";16;1086;1036;157;173;0;0;0;0
98;"ShopFlag";16;1086;1036;178;268;0;0;0;0
99;"ShopFlag";16;1086;1036;178;263;0;0;0;0
100;"ShopFlag";16;1086;1036;178;258;0;0;0;0
101;"ShopFlag";16;1086;1036;178;253;0;0;0;0
102;"ShopFlag";16;1086;1036;178;248;0;0;0;0
103;"ShopFlag";16;1086;1036;178;243;0;0;0;0
104;"ShopFlag";16;1086;1036;185;268;0;0;0;0
105;"ShopFlag";16;1086;1036;185;263;0;0;0;0
106;"ShopFlag";16;1086;1036;185;258;0;0;0;0
107;"ShopFlag";16;1086;1036;185;253;0;0;0;0
108;"ShopFlag";16;1086;1036;185;248;0;0;0;0
109;"ShopFlag";16;1086;1036;185;243;0;0;0;0
110;"ShopFlag";16;1086;1036;210;268;0;0;0;0
111;"ShopFlag";16;1086;1036;210;263;0;0;0;0
112;"ShopFlag";16;1086;1036;210;258;0;0;0;0
113;"ShopFlag";16;1086;1036;210;253;0;0;0;0
114;"ShopFlag";16;1086;1036;210;248;0;0;0;0
115;"ShopFlag";16;1086;1036;210;243;0;0;0;0
116;"ShopFlag";16;1086;1036;217;268;0;0;0;0
117;"ShopFlag";16;1086;1036;217;263;0;0;0;0
118;"ShopFlag";16;1086;1036;217;258;0;0;0;0
119;"ShopFlag";16;1086;1036;217;253;0;0;0;0
120;"ShopFlag";16;1086;1036;217;248;0;0;0;0
121;"ShopFlag";16;1086;1036;217;243;0;0;0;0
122;"ShopFlag";16;1086;1036;269;174;0;0;0;0
141;"Pharmacist";1;32;1036;198;181;0;0;0;0
150;"ShopFlag";16;1086;1036;166;152;0;0;0;0
151;"ShopFlag";16;1086;1036;166;147;0;0;0;0
152;"ShopFlag";16;1086;1036;166;142;0;0;0;0
153;"ShopFlag";16;1086;1036;166;137;0;0;0;0
154;"ShopFlag";16;1086;1036;166;132;0;0;0;0
155;"ShopFlag";16;1086;1036;166;127;0;0;0;0
156;"ShopFlag";16;1086;1036;173;152;0;0;0;0
157;"ShopFlag";16;1086;1036;173;147;0;0;0;0
158;"ShopFlag";16;1086;1036;173;142;0;0;0;0
159;"ShopFlag";16;1086;1036;173;137;0;0;0;0
160;"ShopFlag";16;1086;1036;173;132;0;0;0;0
161;"ShopFlag";16;1086;1036;173;127;0;0;0;0
162;"ShopFlag";16;1086;1036;198;152;0;0;0;0
163;"ShopFlag";16;1086;1036;198;147;0;0;0;0
164;"ShopFlag";16;1086;1036;198;142;0;0;0;0
165;"ShopFlag";16;1086;1036;198;137;0;0;0;0
166;"ShopFlag";16;1086;1036;198;132;0;0;0;0
167;"ShopFlag";16;1086;1036;198;127;0;0;0;0
168;"ShopFlag";16;1086;1036;205;152;0;0;0;0
169;"ShopFlag";16;1086;1036;205;147;0;0;0;0
170;"ShopFlag";16;1086;1036;205;142;0;0;0;0
171;"ShopFlag";16;1086;1036;205;137;0;0;0;0
172;"ShopFlag";16;1086;1036;205;132;0;0;0;0
173;"ShopFlag";16;1086;1036;205;127;0;0;0;0
174;"ShopFlag";16;1086;1036;230;217;0;0;0;0
175;"ShopFlag";16;1086;1036;230;213;0;0;0;0
176;"ShopFlag";16;1086;1036;230;209;0;0;0;0
177;"ShopFlag";16;1086;1036;230;205;0;0;0;0
178;"ShopFlag";16;1086;1036;230;201;0;0;0;0
179;"ShopFlag";16;1086;1036;230;197;0;0;0;0
180;"ShopFlag";16;1086;1036;230;193;0;0;0;0
181;"ShopFlag";16;1086;1036;230;189;0;0;0;0
182;"ShopFlag";16;1086;1036;230;185;0;0;0;0
183;"ShopFlag";16;1086;1036;230;181;0;0;0;0
184;"ShopFlag";16;1086;1036;230;177;0;0;0;0
185;"ShopFlag";16;1086;1036;230;173;0;0;0;0
186;"ShopFlag";16;1086;1036;269;218;0;0;0;0
187;"ShopFlag";16;1086;1036;269;214;0;0;0;0
188;"ShopFlag";16;1086;1036;269;210;0;0;0;0
189;"ShopFlag";16;1086;1036;269;206;0;0;0;0
190;"ShopFlag";16;1086;1036;269;202;0;0;0;0
191;"ShopFlag";16;1086;1036;269;198;0;0;0;0
192;"ShopFlag";16;1086;1036;269;194;0;0;0;0
193;"ShopFlag";16;1086;1036;269;190;0;0;0;0
